id,nome,data,tasso
MII179958,Prato,2024-10-13,102.7304
MII179965,Ragusa,2024-10-13,112.5683
MII179981,Ravenna,2024-10-13,153.0612
MII179988,Reggio Calabria Arghillà,2024-10-13,112.5850
MII179995,Reggio Calabria Giuseppe Panzera,2024-10-13,116.2791
MII182339,Reggio Emilia,2024-10-13,119.7425
MII169535,Rieti,2024-10-13,189.6679
MII180001,Rimini,2024-10-13,132.2034
MII180380,Roma Rebibbia,2024-10-13,100.6757
MII180348,Roma Rebibbia femminile,2024-10-13,142.0455
MII180356,Roma Rebibbia IIIª casa,2024-10-13,63.6364
MII180370,Roma Rebibbia Nuovo Complesso,2024-10-13,149.1012
MII180401,Roma Regina Coeli,2024-10-13,179.0735
MII180415,Rossano,2024-10-13,122.4335
MII180424,Rovigo,2024-10-13,116.0976
MII180426,Salerno,2024-10-13,157.1809
MII180437,Saluzzo,2024-10-13,81.1321
MII180451,San Cataldo,2024-10-13,65.6716
MII180458,San Gimignano,2024-10-13,142.1525
MII180476,San Severo,2024-10-13,119.6721
MII180465,Sanremo,2024-10-13,118.0995
MII181079,Sant'Angelo dei Lombardi,2024-10-13,147.8632
MII180487,Santa Maria Capua Vetere,2024-10-13,145.4545
MII181091,Sassari,2024-10-13,114.5695
MII181109,Sciacca,2024-10-13,100.0000
MII181115,Siena,2024-10-13,120.6897
MII181125,Siracusa,2024-10-13,123.3028
MII181346,Sondrio,2024-10-13,142.3077
MII181358,Spoleto,2024-10-13,101.7778
MII181371,Sulmona,2024-10-13,137.1429
MII181377,Taranto,2024-10-13,193.5818
MII181385,Tempio Pausania,2024-10-13,102.3529
MII181392,Teramo,2024-10-13,139.7638
MII181401,Termini Imerese,2024-10-13,112.6316
MII181407,Terni,2024-10-13,134.3602
MII181417,Tolmezzo,2024-10-13,96.6443
MII181424,Torino,2024-10-13,131.1759
MII181434,Trani,2024-10-13,130.5648
MII181440,Trani femminile,2024-10-13,118.7500
MII181625,Trapani,2024-10-13,106.6398
MII181636,Trento,2024-10-13,91.1271
MII181645,Treviso,2024-10-13,182.5397
MII181661,Trieste,2024-10-13,169.8630
MII181681,Turi,2024-10-13,140.7407
MII181672,Udine,2024-10-13,187.3684
MII181691,Vallo della Lucania,2024-10-13,145.0000
MII181703,Varese,2024-10-13,186.7925
MII181820,Vasto,2024-10-13,64.6259
MII181839,Velletri,2024-10-13,150.7418
MII181847,Venezia Giudecca,2024-10-13,82.1429
MII181863,Venezia Santa Maria Maggiore,2024-10-13,162.2642
MII181870,Verbania,2024-10-13,156.6038
MII181880,Vercelli,2024-10-13,159.5376
MII181891,Verona,2024-10-13,187.7358
MII181908,Vibo Valentia,2024-10-13,98.9744
MII181918,Vicenza,2024-10-13,146.7480
MII181924,Vigevano,2024-10-13,165.1376
MII181934,Viterbo,2024-10-13,172.0988
MII179733,Voghera,2024-10-13,103.2258
MII179876,Volterra,2024-10-13,95.7672
MII158910,Agrigento,2024-10-20,143.0657
MII157783,Alba,2024-10-20,83.6735
MII158919,"Alessandria Cantiello, Gaeta",2024-10-20,97.6190
MII158924,Alessandria San Michele,2024-10-20,135.6061
MII158935,Alghero,2024-10-20,53.8462
MII172277,Altamura,2024-10-20,152.9412
MII158944,Ancona Barcaglione,2024-10-20,101.0000
MII158941,Ancona Montacuto,2024-10-20,130.8594
MII158945,Arbus,2024-10-20,69.0476
MII158948,Arezzo,2024-10-20,162.5000
MII159053,Ariano Irpino,2024-10-20,123.5521
MII159060,Arienzo,2024-10-20,168.9655
MII159065,Ascoli Piceno,2024-10-20,125.2525
MII159069,Asti,2024-10-20,125.0000
MII159314,Augusta,2024-10-20,161.1111
MII172011,Avellino,2024-10-20,126.5136
MII172187,Aversa,2024-10-20,108.5470
MII182440,Avezzano,2024-10-20,139.2157
MII172222,Barcellona Pozzo di Gotto,2024-10-20,74.6324
MII181678,Bari,2024-10-20,170.2811
MII158901,Belluno,2024-10-20,130.4878
MII160204,Benevento,2024-10-20,160.0791
MII172827,Bergamo,2024-10-20,178.9308
MII172332,Biella,2024-10-20,117.1795
MII172344,Bollate,2024-10-20,112.0853
MII172508,Bologna,2024-10-20,170.5394
MII172580,Bolzano,2024-10-20,125.8824
MII172592,Brescia Canton Monbello,2024-10-20,203.8462
MII172610,Brescia Verziano,2024-10-20,164.2857
MII172623,Brindisi,2024-10-20,168.0672
MII172814,Brissogne - Aosta,2024-10-20,77.7143
MII172320,Busto Arsizio,2024-10-20,193.8053
MII172835,Cagliari Uta,2024-10-20,132.6203
MII173006,Caltagirone,2024-10-20,113.5279
MII173063,Caltanissetta,2024-10-20,121.8579
MII173088,Campobasso,2024-10-20,176.0417
MII173101,Carinola,2024-10-20,100.4032
MII173114,Cassino,2024-10-20,170.0787
MII173237,Castelfranco Emilia,2024-10-20,71.1409
MII173259,Castelvetrano,2024-10-20,163.6364
MII173265,Castrovillari,2024-10-20,143.8017
MII173285,Catania Bicocca,2024-10-20,133.0827
MII173301,Catania Piazza Lanza,2024-10-20,153.0466
MII173311,Catanzaro,2024-10-20,102.8708
MII173356,Chiavari,2024-10-20,121.1538
MII173364,Chieti,2024-10-20,159.4937
MII173688,Civitavecchia Giuseppe Passerini,2024-10-20,97.8261
MII172208,Civitavecchia Nuovo Complesso,2024-10-20,170.0965
MII173712,Como,2024-10-20,191.1111
MII173341,Cosenza,2024-10-20,124.6445
MII173747,Cremona,2024-10-20,155.9896
MII173324,Crotone,2024-10-20,125.2632
MII173764,Cuneo,2024-10-20,108.2447
MII173784,Eboli,2024-10-20,81.4815
MII173813,Enna,2024-10-20,122.2222
MII173994,Favignana,2024-10-20,102.2472
MII174501,Fermo,2024-10-20,127.9070
MII174686,Ferrara,2024-10-20,156.9672
MII174825,Firenze Mario Gozzini,2024-10-20,136.3636
MII174720,Firenze Sollicciano,2024-10-20,147.0914
MII176375,Foggia,2024-10-20,203.4783
MII176403,Forlì,2024-10-20,115.1515
MII176414,Fossano,2024-10-20,82.3529
MII176424,Fossombrone,2024-10-20,87.1287
MII176437,Frosinone,2024-10-20,122.3140
MII176451,Gela,2024-10-20,141.6667
MII152284,Genova Marassi,2024-10-20,125.6075
MII176703,Genova Pontedecimo,2024-10-20,159.3023
MII176714,Giarre,2024-10-20,127.5862
MII176719,Gorizia,2024-10-20,139.6226
MII176743,Grosseto,2024-10-20,200.0000
MII176749,Imperia,2024-10-20,140.3846
MII176759,Isernia,2024-10-20,138.0000
MII176771,Isili,2024-10-20,71.0280
MII176781,Ivrea,2024-10-20,134.0426
MII177134,L'Aquila,2024-10-20,77.4775
MII176788,La Spezia,2024-10-20,121.3592
MII177107,Lanciano,2024-10-20,114.3498
MII177118,Lanusei,2024-10-20,84.8485
MII177323,Larino,2024-10-20,104.2017
MII177332,Latina,2024-10-20,167.5325
MII177346,Laureana di Borrello,2024-10-20,154.0541
MII177384,Lauro,2024-10-20,10.0000
MII177420,Lecce,2024-10-20,162.0783
MII177436,Lecco,2024-10-20,152.8302
MII177463,Livorno,2024-10-20,136.6667
MII177498,Livorno Gorgona,2024-10-20,94.3820
MII177996,Locri,2024-10-20,145.3488
MII178027,Lodi,2024-10-20,193.1818
MII178035,Lucca,2024-10-20,187.8049
MII178045,Lucera,2024-10-20,121.4815
MII178072,Mantova,2024-10-20,157.4468
MII178085,Massa,2024-10-20,140.4762
MII178115,Massa Marittima,2024-10-20,102.0833
MII178124,Matera,2024-10-20,151.5873
MII178141,Melfi,2024-10-20,143.6508
MII178148,Messina,2024-10-20,95.9091
