id,nome,indirizzo,tipo,posti_regolamentari,posti_non_disponibili,posti_reali,tasso_affollamento,posti_occupati,posti_aggiornati_al,personale_polizia_previsti,personale_polizia_effettivi,personale_polizia_aggiornato_a,personale_amministrativi_previsti,personale_amministrativi_effettivi,personale_amministrativo_aggiornato_al,latitudine,longitude
MII181645,Treviso,Via Santa Bona Nuova n.5/B - 31100 Treviso,Casa circondariale,138,12,126,1.85,233,2024-10-05,149,132,2024-07-31,17,13,2024-07-31,45.67301695,12.23006239
MII181661,Trieste,Via Coroneo n. 26/28 - 34133 Trieste,Casa circondariale - Ernesto Mari,150,4,146,1.66,243,2024-10-05,149,120,2024-07-31,20,21,2024-07-31,45.6556788,13.78073313
MII181672,Udine,Via Spalato n. 30 - 33100 Udine,Casa circondariale - Antonio Santoro,95,0,95,1.87,178,2024-10-05,112,92,2024-07-31,17,14,2024-07-31,46.06711525,13.24805433
MII181678,Bari,Corso Alcide De Gasperi n.307 - 70124 Bari,Casa circondariale - Francesco Rucci,294,47,247,1.64,405,2024-10-05,258,221,2024-07-31,26,26,2024-07-31,41.1257843,16.8620293
MII181681,Turi,Piazza Aldo Moro n.4 - 70010 Turi,Casa di reclusione,108,0,108,1.4,151,2024-10-05,90,84,2024-07-31,14,15,2024-07-31,40.91732385,17.01893088
MII181691,Vallo della Lucania,A.R. Passaro n.39 - 84078  Vallo della Lucania,Casa circondariale - Alfredo Paragano,40,0,40,1.42,57,2024-10-05,21,33,2024-07-31,13,5,2024-07-31,40.229704,15.26576
MII181703,Varese,Via Felicita Morandi n.5 - 21100 Varese,Casa circondariale,53,0,53,1.89,100,2024-10-05,59,56,2024-07-31,13,6,2024-07-31,45.8175359,8.8263438
MII181820,Vasto,Via Torre Sinello n.23 - 66054 Vasto,Casa di lavoro,197,50,147,0.63,93,2024-10-05,95,65,2024-07-31,19,15,2024-07-31,42.29559582,14.44633484
MII181839,Velletri,Via Campoleone n.97 - 00049 Velletri,Casa circondariale,412,26,386,1.33,514,2024-10-05,275,197,2024-07-31,32,26,2024-07-31,41.61240705,12.73058684
MII181847,Venezia Giudecca,S. Eufemia n.712 - 30133 Venezia,Casa di reclusione femminile,112,0,112,0.83,93,2024-10-05,135,117,2024-07-31,20,13,2024-07-31,45.42608215,12.31826224
MII181863,Venezia Santa Maria Maggiore,Santa Croce n.324 - 30135  Venezia,Casa circondariale,159,0,159,1.63,259,2024-10-05,149,158,2024-07-31,18,15,2024-07-31,45.435422,12.31724323
MII181870,Verbania,Via Giuseppe Castelli n.8 - 28922 Verbania,Casa circondariale,53,0,53,1.57,83,2024-10-05,44,43,2024-07-31,13,5,2024-07-31,45.9221715,8.5516789
MII181880,Vercelli,Strada Vicinale del Rollone n.19 - 13100 Vercelli,Casa circondariale,230,56,174,1.56,272,2024-10-05,186,166,2024-07-31,18,8,2024-07-31,45.3063558,8.42909461
MII181891,Verona,Via San Michele n.15 - 37141 Verona,Casa circondariale - Montorio,335,17,318,1.86,592,2024-10-05,317,327,2024-07-31,26,20,2024-07-31,45.44345285,11.04808194
MII181908,Vibo Valentia,Contrada Cocari n. snc - 89900 Vibo Valentia,Casa circondariale - Nuovo Complesso,406,30,376,1.03,389,2024-10-05,224,205,2024-07-31,26,24,2024-07-31,38.677407,16.0924801
MII181918,Vicenza,Via Basilio Dalla Scola n. 150 - 36100 Vicenza,Casa circondariale - Filippo Del Papa,276,31,245,1.48,362,2024-10-05,194,185,2024-07-31,20,14,2024-07-31,45.5518993,11.5780075
MII181924,Vigevano,Via Gravellona n.240 - 27029 Vigevano,Casa di reclusione,242,24,218,1.66,362,2024-10-05,221,214,2024-07-31,22,14,2024-07-31,45.3211074,8.8114587
MII181934,Viterbo,Strada SS. Salvatore n. 14/b - 01100 Viterbo,Casa circondariale  N.C.  - Nicandro Izzo,440,35,405,1.71,694,2024-10-05,330,268,2024-07-31,33,29,2024-07-31,42.4525651,12.09423595
MII182339,Reggio Emilia,Via Settembrini n.8 - 42123 Reggio Emilia,Istituti di pena - casa circondariale e di reclusione,292,59,233,1.22,284,2024-10-05,206,200,2024-07-31,22,22,2024-07-31,44.6639363,10.63973152
MII182440,Avezzano,Via San Francesco n.8 - 67051 Avezzano,Casa circondariale,53,2,51,1.39,71,2024-10-05,39,31,2024-07-31,12,8,2024-07-31,42.0347963,13.4265048
