name_toclean,name_match,count
campobasso casa circondariale,campobasso casa circondariale,3
larino casa circondariale,larino casa circondariale,3
isernia casa circondariale,isernia casa circondariale,3
"alessandria ""g. cantiello s. gaeta"" casa circondariale","alessandria cantiello, gaeta casa circondariale",5
asti casa di reclusione,asti casa di reclusione,4
biella casa circondariale,biella casa circondariale,3
cuneo casa circondariale,cuneo casa circondariale,3
fossano casa di reclusione,fossano casa di reclusione,4
novara casa circondariale,novara casa circondariale,3
ivrea casa circondariale,ivrea casa circondariale,3
"torino ""g. lorusso l. cutugno"" le vallette casa circondariale",torino casa circondariale,3
verbania casa circondariale,verbania casa circondariale,3
vercelli casa circondariale,vercelli casa circondariale,3
altamura casa di reclusione,altamura casa di reclusione,4
turi casa di reclusione,turi casa di reclusione,4
brindisi casa circondariale,brindisi casa circondariale,3
trani casa circondariale,trani casa circondariale,3
trani casa di reclusione femminile,trani femminile casa di reclusione,5
foggia casa circondariale,foggia casa circondariale,3
lucera casa circondariale,lucera casa circondariale,3
san severo casa circondariale,san severo casa circondariale,4
taranto casa circondariale,taranto casa circondariale,3
isili casa di reclusione,isili casa di reclusione,4
nuoro casa circondariale,nuoro casa circondariale,3
sciacca casa circondariale,sciacca casa circondariale,3
caltanissetta casa circondariale,caltanissetta casa circondariale,3
gela casa circondariale,gela casa circondariale,3
san cataldo casa di reclusione,san cataldo casa di reclusione,5
caltagirone casa circondariale,caltagirone casa circondariale,3
giarre casa circondariale,giarre casa circondariale,3
piazza armerina casa circondariale,piazza armerina casa circondariale,4
barcellona pozzo di gotto casa circondariale,barcellona pozzo di gotto casa circondariale,6
messina casa circondariale,messina casa circondariale,3
ragusa casa circondariale,ragusa casa circondariale,3
augusta casa di reclusione,augusta casa di reclusione,4
siracusa casa circondariale,siracusa casa circondariale,3
castelvetrano casa circondariale,castelvetrano casa circondariale,3
arezzo casa circondariale,arezzo casa circondariale,3
grosseto casa circondariale,grosseto casa circondariale,3
massa marittima casa circondariale,massa marittima casa circondariale,4
livorno casa circondariale,livorno casa circondariale,3
lucca casa circondariale,lucca casa circondariale,3
massa casa di reclusione,massa casa di reclusione,4
pisa casa circondariale,pisa casa circondariale,3
volterra casa di reclusione,volterra casa di reclusione,4
prato casa circondariale,prato casa circondariale,3
pistoia casa circondariale,pistoia casa circondariale,3
san gimignano casa di reclusione,san gimignano casa di reclusione,5
siena casa circondariale,siena casa circondariale,3
bolzano casa circondariale,bolzano casa circondariale,3
spoleto casa di reclusione,spoleto casa di reclusione,4
orvieto casa di reclusione,orvieto casa di reclusione,4
terni casa circondariale,terni casa circondariale,3
belluno casa circondariale,belluno casa circondariale,3
padova casa circondariale,padova casa circondariale,3
rovigo casa circondariale,rovigo casa circondariale,3
